dataset,model,auroc_mean,auroc_std
syn_linear,CVAE,0.953,0.0143
syn_linear,CWAE-MMD-Beta0.1,0.9807,0.02
syn_linear,CWAE-MMD-Beta10,0.9804,0.0084
syn_linear,CWAE-MMD-CRPS,0.9897,0.002
syn_linear,CWAE-MMD-CRPS-IF,0.9897,0.002
syn_linear,CWAE-MMD-DIF,0.9878,0.0102
syn_linear,CWAE-MMD-DIF-Dual,0.9943,0.0034
syn_linear,CWAE-MMD-Huber,0.9846,0.0076
syn_linear,CWAE-MMD-IF,0.9878,0.0101
syn_linear,CWAE-MMD-IF-Dual,0.9952,0.0026
syn_linear,CWAE-MMD-IF-Latent,0.9936,0.0048
syn_linear,CWAE-MMD-IMQ-Extreme,0.9808,0.0064
syn_linear,CWAE-MMD-Latent16,0.9851,0.002
syn_linear,CWAEMMD-Base,0.9878,0.0101
syn_linear,DIF,0.9772,0.0026
syn_linear,IF,0.8325,0.0173
syn_linear,IF-concat,0.8325,0.0173
syn_multimodal,CVAE,0.5908,0.0211
syn_multimodal,CWAE-MMD-Beta0.1,0.7228,0.0725
syn_multimodal,CWAE-MMD-Beta10,0.6123,0.0537
syn_multimodal,CWAE-MMD-CRPS,0.6608,0.0551
syn_multimodal,CWAE-MMD-CRPS-IF,0.6608,0.0551
syn_multimodal,CWAE-MMD-DIF,0.6558,0.0892
syn_multimodal,CWAE-MMD-DIF-Dual,0.5942,0.0685
syn_multimodal,CWAE-MMD-Huber,0.7307,0.0498
syn_multimodal,CWAE-MMD-IF,0.6413,0.0844
syn_multimodal,CWAE-MMD-IF-Dual,0.5853,0.0641
syn_multimodal,CWAE-MMD-IF-Latent,0.5868,0.0247
syn_multimodal,CWAE-MMD-IMQ-Extreme,0.6515,0.0848
syn_multimodal,CWAE-MMD-Latent16,0.613,0.0529
syn_multimodal,CWAEMMD-Base,0.6413,0.0844
syn_multimodal,DIF,0.8382,0.0553
syn_multimodal,IF,0.9975,0.0026
syn_multimodal,IF-concat,0.9975,0.0026
syn_nonlinear,CVAE,0.9886,0.0036
syn_nonlinear,CWAE-MMD-Beta0.1,0.9951,0.003
syn_nonlinear,CWAE-MMD-Beta10,0.9933,0.0029
syn_nonlinear,CWAE-MMD-CRPS,0.9994,0.0002
syn_nonlinear,CWAE-MMD-CRPS-IF,0.9994,0.0002
syn_nonlinear,CWAE-MMD-DIF,0.9973,0.0037
syn_nonlinear,CWAE-MMD-DIF-Dual,0.9999,0.0002
syn_nonlinear,CWAE-MMD-Huber,0.9985,0.0005
syn_nonlinear,CWAE-MMD-IF,0.9969,0.0037
syn_nonlinear,CWAE-MMD-IF-Dual,0.9996,0.0005
syn_nonlinear,CWAE-MMD-IF-Latent,0.9963,0.0038
syn_nonlinear,CWAE-MMD-IMQ-Extreme,0.9978,0.0006
syn_nonlinear,CWAE-MMD-Latent16,0.9959,0.0022
syn_nonlinear,CWAEMMD-Base,0.9969,0.0037
syn_nonlinear,DIF,0.9866,0.0079
syn_nonlinear,IF,0.832,0.0342
syn_nonlinear,IF-concat,0.832,0.0342
syn_scale,CVAE,0.6731,0.0392
syn_scale,CWAE-MMD-Beta0.1,0.6361,0.0638
syn_scale,CWAE-MMD-Beta10,0.6515,0.0355
syn_scale,CWAE-MMD-CRPS,0.6444,0.0417
syn_scale,CWAE-MMD-CRPS-IF,0.6444,0.0417
syn_scale,CWAE-MMD-DIF,0.6323,0.044
syn_scale,CWAE-MMD-DIF-Dual,0.6641,0.0421
syn_scale,CWAE-MMD-Huber,0.6641,0.0425
syn_scale,CWAE-MMD-IF,0.6338,0.0437
syn_scale,CWAE-MMD-IF-Dual,0.6615,0.0403
syn_scale,CWAE-MMD-IF-Latent,0.675,0.0418
syn_scale,CWAE-MMD-IMQ-Extreme,0.6489,0.0373
syn_scale,CWAE-MMD-Latent16,0.659,0.0367
syn_scale,CWAEMMD-Base,0.6338,0.0437
syn_scale,DIF,0.6848,0.0428
syn_scale,IF,0.6362,0.0549
syn_scale,IF-concat,0.6362,0.0549
